requestTime,userIp,x,y,z
2026-04-07 21:00:59.942753300+00:00,::1,1,1,3
2026-04-07 21:00:59.947712400+00:00,::1,1,2,3
2026-04-07 21:01:00.079334100+00:00,::1,0,1,3
2026-04-07 21:01:00.090843200+00:00,::1,6,1,3
2026-04-07 21:01:00.099407+00:00,::1,0,2,3
2026-04-07 21:01:00.099414600+00:00,::1,1,1,2
2026-04-07 21:01:00.099429200+00:00,::1,6,2,3
2026-04-07 21:01:00.100148500+00:00,::1,1,0,2
2026-04-07 21:01:00.102745100+00:00,::1,2,0,2
2026-04-07 21:01:00.107431900+00:00,::1,0,0,2
2026-04-07 21:01:00.119369200+00:00,::1,2,1,2
2026-04-07 21:01:00.128225300+00:00,::1,3,0,2
2026-04-07 21:01:00.320245600+00:00,::1,0,1,2
2026-04-07 21:01:00.338671900+00:00,::1,3,1,2
2026-04-07 21:01:00.363752300+00:00,::1,3,2,2
2026-04-07 21:01:00.377533300+00:00,::1,0,2,2
2026-04-07 21:01:00.394307300+00:00,::1,1,2,2
2026-04-07 21:01:00.407019900+00:00,::1,2,2,2
2026-04-07 21:01:01.300471300+00:00,::1,0,3,2
2026-04-07 21:01:01.300523500+00:00,::1,3,3,2
2026-04-07 21:01:01.301748600+00:00,::1,2,3,2
2026-04-07 21:01:01.301991500+00:00,::1,1,3,2
2026-04-07 21:01:01.949548200+00:00,::1,12,5,4
2026-04-07 21:01:01.950497+00:00,::1,11,6,4
2026-04-07 21:01:01.950778700+00:00,::1,10,5,4
2026-04-07 21:01:01.950780100+00:00,::1,11,5,4
2026-04-07 21:01:01.953377900+00:00,::1,10,6,4
2026-04-07 21:01:01.953632700+00:00,::1,12,6,4
2026-04-07 21:01:02.183657600+00:00,::1,8,7,4
2026-04-07 21:01:02.221654500+00:00,::1,14,5,4
2026-04-07 21:01:02.221654600+00:00,::1,11,4,4
2026-04-07 21:01:02.234917+00:00,::1,14,7,4
2026-04-07 21:01:02.357222100+00:00,::1,8,4,4
2026-04-07 21:01:02.380555400+00:00,::1,12,7,4
2026-04-07 21:01:02.421709400+00:00,::1,14,4,4
2026-04-07 21:01:02.526158+00:00,::1,8,5,4
2026-04-07 21:01:02.560274800+00:00,::1,12,4,4
2026-04-07 21:01:02.687852300+00:00,::1,10,4,4
2026-04-07 21:01:02.775118100+00:00,::1,10,7,4
2026-04-07 21:01:02.853756800+00:00,::1,13,5,4
2026-04-07 21:01:02.859909200+00:00,::1,13,4,4
2026-04-07 21:01:02.870271100+00:00,::1,9,7,4
2026-04-07 21:01:02.884163700+00:00,::1,13,6,4
2026-04-07 21:01:02.901421800+00:00,::1,11,7,4
2026-04-07 21:01:02.970608+00:00,::1,13,7,4
2026-04-07 21:01:03.106068600+00:00,::1,9,4,4
2026-04-07 21:01:03.130031900+00:00,::1,8,6,4
2026-04-07 21:01:03.257410800+00:00,::1,14,6,4
2026-04-07 21:01:03.262145100+00:00,::1,22,12,5
2026-04-07 21:01:03.262193300+00:00,::1,21,9,5
2026-04-07 21:01:03.262445700+00:00,::1,20,9,5
2026-04-07 21:01:03.263191200+00:00,::1,21,12,5
2026-04-07 21:01:03.264372200+00:00,::1,21,10,5
2026-04-07 21:01:03.268026600+00:00,::1,22,10,5
2026-04-07 21:01:03.522477200+00:00,::1,20,10,5
2026-04-07 21:01:03.531032200+00:00,::1,23,9,5
2026-04-07 21:01:03.536605200+00:00,::1,20,12,5
2026-04-07 21:01:03.543177800+00:00,::1,19,9,5
2026-04-07 21:01:03.558702700+00:00,::1,19,11,5
2026-04-07 21:01:03.561620200+00:00,::1,19,10,5
2026-04-07 21:01:03.768682600+00:00,::1,23,11,5
2026-04-07 21:01:03.777826200+00:00,::1,22,11,5
2026-04-07 21:01:03.781917900+00:00,::1,22,9,5
2026-04-07 21:01:03.800802900+00:00,::1,19,12,5
2026-04-07 21:01:03.806798100+00:00,::1,23,10,5
2026-04-07 21:01:03.969541100+00:00,::1,20,11,5
2026-04-07 21:01:03.972295500+00:00,::1,18,10,5
2026-04-07 21:01:04.068904100+00:00,::1,23,12,5
2026-04-07 21:01:04.085669900+00:00,::1,21,11,5
2026-04-07 21:01:04.106823600+00:00,::1,24,10,5
2026-04-07 21:01:04.147995900+00:00,::1,18,11,5
2026-04-07 21:01:04.164175900+00:00,::1,24,11,5
2026-04-07 21:01:04.197997900+00:00,::1,18,9,5
2026-04-07 21:01:04.284344300+00:00,::1,24,9,5
2026-04-07 21:01:04.321205400+00:00,::1,18,12,5
2026-04-07 21:01:04.342882100+00:00,::1,24,12,5
2026-04-07 21:01:04.832120600+00:00,::1,40,20,6
2026-04-07 21:01:04.832199500+00:00,::1,40,21,6
2026-04-07 21:01:04.832263100+00:00,::1,39,20,6
2026-04-07 21:01:04.832411300+00:00,::1,41,20,6
2026-04-07 21:01:04.836867800+00:00,::1,39,21,6
2026-04-07 21:01:04.838751200+00:00,::1,43,19,6
2026-04-07 21:01:05.053401600+00:00,::1,38,22,6
2026-04-07 21:01:05.211811900+00:00,::1,40,19,6
2026-04-07 21:01:05.236672500+00:00,::1,38,19,6
2026-04-07 21:01:05.253511700+00:00,::1,40,22,6
2026-04-07 21:01:05.263105400+00:00,::1,41,19,6
2026-04-07 21:01:05.278230400+00:00,::1,37,20,6
2026-04-07 21:01:05.367152700+00:00,::1,43,22,6
2026-04-07 21:01:05.467806700+00:00,::1,42,22,6
2026-04-07 21:01:05.585444800+00:00,::1,38,20,6
2026-04-07 21:01:05.593040900+00:00,::1,37,21,6
2026-04-07 21:01:05.633490700+00:00,::1,39,22,6
2026-04-07 21:01:05.650852200+00:00,::1,41,21,6
2026-04-07 21:01:05.738153400+00:00,::1,42,19,6
2026-04-07 21:01:05.772624600+00:00,::1,37,19,6
2026-04-07 21:01:05.787656900+00:00,::1,41,22,6
2026-04-07 21:01:05.794806800+00:00,::1,37,22,6
2026-04-07 21:01:05.802822400+00:00,::1,43,21,6
2026-04-07 21:01:05.974898400+00:00,::1,38,21,6
2026-04-07 21:01:05.997121100+00:00,::1,39,19,6
2026-04-07 21:01:06.121769600+00:00,::1,42,20,6
2026-04-07 21:01:06.151485800+00:00,::1,42,21,6
2026-04-07 21:01:06.220902700+00:00,::1,43,20,6
2026-04-07 21:01:06.363369800+00:00,::1,80,42,7
2026-04-07 21:01:06.363369800+00:00,::1,80,41,7
2026-04-07 21:01:06.371965300+00:00,::1,77,42,7
2026-04-07 21:01:06.371965300+00:00,::1,81,43,7
2026-04-07 21:01:06.375483600+00:00,::1,79,41,7
2026-04-07 21:01:06.379528600+00:00,::1,79,42,7
2026-04-07 21:01:06.776016+00:00,::1,83,42,7
2026-04-07 21:01:06.787170600+00:00,::1,81,42,7
2026-04-07 21:01:06.789282800+00:00,::1,83,43,7
2026-04-07 21:01:06.792111+00:00,::1,79,40,7
2026-04-07 21:01:06.859900400+00:00,::1,78,41,7
2026-04-07 21:01:06.989864500+00:00,::1,80,43,7
2026-04-07 21:01:07.053484+00:00,::1,83,41,7
2026-04-07 21:01:07.094024800+00:00,::1,82,40,7
2026-04-07 21:01:07.096828400+00:00,::1,79,43,7
2026-04-07 21:01:07.241655300+00:00,::1,82,43,7
2026-04-07 21:01:07.286522300+00:00,::1,77,41,7
2026-04-07 21:01:07.289716800+00:00,::1,80,40,7
2026-04-07 21:01:07.439257800+00:00,::1,81,41,7
2026-04-07 21:01:07.523799500+00:00,::1,77,43,7
2026-04-07 21:01:07.533225+00:00,::1,83,40,7
2026-04-07 21:01:07.571103700+00:00,::1,81,40,7
2026-04-07 21:01:07.574600900+00:00,::1,82,42,7
2026-04-07 21:01:07.603328700+00:00,::1,78,42,7
2026-04-07 21:01:07.854943+00:00,::1,78,43,7
2026-04-07 21:01:07.898234+00:00,::1,78,40,7
2026-04-07 21:01:07.905788200+00:00,::1,82,41,7
2026-04-07 21:01:07.931638100+00:00,::1,77,40,7
2026-04-07 21:01:12.382465100+00:00,::1,320,169,9
2026-04-07 21:01:12.382473100+00:00,::1,321,169,9
2026-04-07 21:01:12.382605+00:00,::1,321,170,9
2026-04-07 21:01:12.385584800+00:00,::1,322,169,9
2026-04-07 21:01:12.390042700+00:00,::1,322,170,9
2026-04-07 21:01:12.390042700+00:00,::1,320,170,9
2026-04-07 21:01:12.877651400+00:00,::1,322,171,9
2026-04-07 21:01:12.895490700+00:00,::1,320,171,9
2026-04-07 21:01:12.970362800+00:00,::1,323,169,9
2026-04-07 21:01:13.031339700+00:00,::1,319,171,9
2026-04-07 21:01:13.073274100+00:00,::1,324,169,9
2026-04-07 21:01:13.116667300+00:00,::1,323,171,9
2026-04-07 21:01:13.272631400+00:00,::1,319,170,9
2026-04-07 21:01:13.291808400+00:00,::1,320,168,9
2026-04-07 21:01:13.322547300+00:00,::1,318,170,9
2026-04-07 21:01:13.424530400+00:00,::1,322,168,9
2026-04-07 21:01:13.580167900+00:00,::1,319,168,9
2026-04-07 21:01:13.599195100+00:00,::1,323,168,9
2026-04-07 21:01:13.613232200+00:00,::1,318,169,9
2026-04-07 21:01:13.735244600+00:00,::1,324,170,9
2026-04-07 21:01:13.819698300+00:00,::1,323,170,9
2026-04-07 21:01:14.065264700+00:00,::1,1286,680,11
2026-04-07 21:01:14.065264700+00:00,::1,1286,679,11
2026-04-07 21:01:14.065273600+00:00,::1,1285,680,11
2026-04-07 21:01:14.065281600+00:00,::1,1287,680,11
2026-04-07 21:01:14.071131100+00:00,::1,1286,681,11
2026-04-07 21:01:14.072130900+00:00,::1,1285,679,11
2026-04-07 21:01:14.514073900+00:00,::1,1284,679,11
2026-04-07 21:01:14.522402300+00:00,::1,1289,680,11
2026-04-07 21:01:14.545458+00:00,::1,1283,680,11
2026-04-07 21:01:14.570960700+00:00,::1,1287,681,11
2026-04-07 21:01:14.721626700+00:00,::1,1283,679,11
2026-04-07 21:01:14.778104100+00:00,::1,1288,679,11
2026-04-07 21:01:14.929688200+00:00,::1,1285,681,11
2026-04-07 21:01:14.941829600+00:00,::1,1289,681,11
2026-04-07 21:01:15.068866200+00:00,::1,1284,680,11
2026-04-07 21:01:15.102003500+00:00,::1,1287,679,11
2026-04-07 21:01:15.143203+00:00,::1,1288,681,11
2026-04-07 21:01:15.170334200+00:00,::1,1283,681,11
2026-04-07 21:01:15.442976900+00:00,::1,1284,681,11
2026-04-07 21:01:15.450869500+00:00,::1,1288,680,11
2026-04-07 21:01:15.475245+00:00,::1,1289,679,11
